BookID,author,bookName,number,PreferentialPrice,press,price
11244689,克利斯提昂·约里波瓦,不一样的卡梅拉手绘版·第一季（套装12册）, 20 ,100.80,二十一世纪出版社,120.00
11982526,恐龙小Q儿童创想中心,做内心强大的自己 自信力培养系列（套装共8册）, 21 ,49.50,五洲传播出版社,88.00
12194254,洋洋兔,我们的中国——写给孩子的中国地理 手绘版, 22 ,26.10,北京理工大学出版社,38.00
11297867,沈从文,边城（纪念典藏版）, 23 ,21.90,武汉出版社,35.00
10033622,亚历山大,朗文·外研社·新概念英语3（培养技能）（新版） , 24 ,22.80,外语教学与研究出版社,28.90
12241226,克莱儿·麦克福尔,摆渡人2重返荒原, 25 ,29.50,百花洲文艺出版社,42.80
11835389,果麦,给孩子读诗, 26 ,51.00,浙江文艺出版社,68.00
11582083,蔡崇达,皮囊, 27 ,29.90,天津人民出版社,39.80
11584281,弗格斯·奥康奈尔,极简主义：风靡欧美的工作与生活理念, 28 ,27.60,人民邮电出版社,35.00
11967827,佐佐木圭一,所谓情商高，就是会说话, 29 ,22.00,北京联合出版公司,32.00
11987633,中国社会科学院语言研究所词典编辑室,现代汉语词典（第7版） , 30 ,76.30,商务印书馆,109.00
11760981,白岩松,白说（京东版）, 31 ,27.40,长江文艺出版社,39.80
10076998,斯塔夫里阿诺斯,全球通史 从史前史到21世纪（ 第7版 修订版 中文版 套装上下册）（赠送精美地 ..., 32 ,72.00,北京大学出版社,96.00
11801688,马歇尔·卢森堡,非暴力沟通, 33 ,25.60,华夏出版社,33.00
10014239,艾瑞·卡尔,信谊绘本世界精选图画书：好饿的毛毛虫, 34 ,37.00,明天出版社,39.80
11289555,玛格丽特·怀兹·布朗,信谊绘本世界精选图画书：逃家小兔, 35 ,24.90,明天出版社,26.80
11018526,马克·李维,偷影子的人（随书附精美卡片）, 36 ,20.50,湖南文艺出版社,29.80
19469079,Usborne Publishing,My First Reading Library  我的第一个图书馆套装，共50 ..., 37 ,285.80,Usborne Publishing,420.40
12215023,肖秀荣,肖秀荣2018考研政治命题人形势与政策以及当代世界经济与政治 , 38 ,16.00,北京航空航天大学出版社,22.00
11792121,赫伯特·乔治·威尔斯,世界简史(京东定制）, 39 ,24.90,民主与建设出版社,39.80
11757834,刘慈欣,中国科幻基石丛书·三体（套装1-3册）, 40 ,62.80,重庆出版社,93.00
11892161,肯·福莱特,巨人的陨落（套装全3册）【荐书联盟推荐】【首届京东文学奖-年度国际作家入围作品】 ..., 41 ,90.90,江苏凤凰文艺出版社,129.80
11955442,林语堂,苏东坡传（纪念典藏版）, 42 ,19.30,湖南文艺出版社,28.00
10884795,太宰治,人间失格, 43 ,15.60,武汉出版社,25.00
12053830,宫西达也,蒲蒲兰绘本馆：宫西达也恐龙系列平装套装（全7册）, 44 ,123.50,二十一世纪出版社,126.00
11755268,迪士尼,迪士尼宝宝故事会（共40册）, 45 ,87.50,人民邮电出版社,100.00
11969879,罗伯特·B.西奥迪尼,影响力（经典版）（新版）, 46 ,36.60,北京联合出版公司,54.90
